Study,Case,Case_num,Session,Time.m,Time,Intervention,Intervention_Time,Outcome,Elementary,Middle,High,LD,ID,ASD,EBD,OHI,No.train,Devise.use,Devise.use.instruct,Tech.assisted,Teacher.guided,Teacher.led,Researcher.develop,Commercial,iPad,Computer,Single.represent,Multi.represent,Tutorial,Game,Set,Area,Linear,Base.ten,Algebra,Multi.model
Shin & Bryant (2017),Tiffany,1,1,0,-3,0,0,20,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,2,1,-2,0,0,20,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,3,2,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,4,3,0,1,0,40,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,5,4,1,1,1,60,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,6,5,2,1,2,40,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,7,6,3,1,3,60,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,8,7,4,1,4,20,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,9,8,5,1,5,20,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,10,9,6,1,6,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Shin & Bryant (2017),Tiffany,1,11,10,7,1,7,60,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
